site,sample_type,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,Grab,9.696833333333334,2.9979442038295776,30.916734368569575,6.376,18.74
Weeks,Rack,10.05709375,4.049854886762073,40.268640100546676,3.782,19.07
ChrisCrk,Grab,4.309954545454546,2.182910387473627,50.64810694525337,1.845,9.037
ChrisCrk,Rack,5.294111111111111,1.7619821516020253,33.28192617461378,1.937,9.157
LeechHead,Grab,6.804454545454545,1.6105917199314321,23.66966682152835,3.994,11.64
LeechHead,Rack,7.276933333333333,1.7259870925583891,23.718605262634295,3.95,10.57
CraggCrk,Grab,4.153235294117647,1.241534877500391,29.893198665118113,1.788,7.473
CraggCrk,Rack,5.226057142857143,1.510948960535907,28.91183389758832,3.004,8.219
WestLeech,Grab,4.29275,1.6893760425208704,39.35416789985139,1.997,9.078
WestLeech,Rack,6.304255813953488,2.249926359567641,35.68900796487001,2.663,10.95
Tunnel,Grab,4.23655,1.7106854669011093,40.37921107743587,1.649,8.854
Tunnel,Rack,5.3985,1.550619411914497,28.723152948309654,2.693,9.024
