# 2019-07-09,,,,,,
#4 point calibration from pre-dried KHP standards made 2019-07-09,,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Lab,Cal,0 ppm,Calibration,Calibration,0
2,Lab,Cal,0 ppm,Calibration,Calibration,0
3,Lab,Cal,0 ppm,Calibration,Calibration,0
4,Lab,Cal,8.1295 ppm,Calibration,Calibration,0
5,Lab,Cal,8.1295 ppm,Calibration,Calibration,0
6,Lab,Cal,8.1295 ppm,Calibration,Calibration,0
7,Lab,Cal,9.5867 ppm,Calibration,Calibration,0
8,Lab,Cal,9.5867 ppm,Calibration,Calibration,0
9,Lab,Cal,9.5867 ppm,Calibration,Calibration,0
10,Lab,Cal,12.0184 ppm,Calibration,Calibration,0
11,Lab,Cal,12.0184 ppm,Calibration,Calibration,0
12,Lab,Cal,12.0184 ppm,Calibration,Calibration,0
